,0
"Expressions, Equations and Functions",0.8021390374331551
calculate,0.8328840970350404
geometry,0.8615916955017301
statistic and probability,0.7589743589743589
geometry/Congruence and similarity,0.9473684210526315
calculate/Consumer math,0.9444444444444444
geometry/Coordinate plane,0.8269230769230769
statistic and probability/Data,0.9473684210526315
"Expressions, Equations and Functions/Expressions",0.7090909090909091
calculate/Financial literacy,0.8947368421052632
"Expressions, Equations and Functions/Function concepts",0.84
calculate/Integers,0.8947368421052632
calculate/Number theory,0.8333333333333334
statistic and probability/One-variable statistics,0.8421052631578947
calculate/Percents,0.65
statistic and probability/Probability,0.6138613861386139
calculate/Rational and irrational numbers,0.6111111111111112
calculate/Ratios and rates,0.8888888888888888
geometry/Scale drawings,0.875
calculate/Sequences,0.8648648648648649
geometry/Slope,0.9
geometry/Three-dimensional figures,0.9166666666666666
geometry/Transformations,0.7777777777777778
geometry/Two-dimensional figures,0.8515625
statistic and probability/Two-variable statistics,0.8888888888888888
calculate/basic calculate,0.8076923076923077
"Expressions, Equations and Functions/equations",0.8421052631578947
"Expressions, Equations and Functions/inequalities",0.8421052631578947
calculate/measurement,1.0
calculate/basic calculate/Add and subtract,0.8
calculate/Sequences/Arithmetic sequences,0.8947368421052632
geometry/Congruence and similarity/Congruence and similarity,0.9473684210526315
calculate/Consumer math/Consumer math,0.9444444444444444
statistic and probability/Probability/Counting principle,0.625
calculate/basic calculate/Decimals,0.7894736842105263
geometry/Coordinate plane/Distance between two points,0.7894736842105263
calculate/basic calculate/Divide,0.9473684210526315
"Expressions, Equations and Functions/Function concepts/Domain and range of functions",0.8888888888888888
"Expressions, Equations and Functions/Expressions/Equivalent expressions",0.9
calculate/measurement/Estimate metric measurements,1.0
calculate/basic calculate/Exponents and Scientific notation,0.6875
calculate/Financial literacy/Financial literacy,0.8947368421052632
calculate/basic calculate/Fractions and decimals,0.7777777777777778
calculate/Sequences/Geometric sequences,0.8333333333333334
"Expressions, Equations and Functions/Function concepts/Interpret functions",0.8421052631578947
"Expressions, Equations and Functions/equations/Linear equations",0.9
"Expressions, Equations and Functions/Function concepts/Linear functions",0.75
geometry/Two-dimensional figures/Lines and angles,0.9444444444444444
statistic and probability/Probability/Make predictions,0.7647058823529411
calculate/basic calculate/Multiply,0.8333333333333334
"Expressions, Equations and Functions/Function concepts/Nonlinear functions",0.8888888888888888
statistic and probability/One-variable statistics/One-variable statistics,0.8421052631578947
calculate/Percents/Percents,0.65
geometry/Two-dimensional figures/Perimeter and area,0.9
calculate/Number theory/Prime factorization,0.5263157894736842
calculate/Number theory/Prime or composite,1.0
statistic and probability/Probability/Probability of compound events,0.5
statistic and probability/Probability/Probability of one event,0.7058823529411765
statistic and probability/Probability/Probability of simple events and opposite events,0.631578947368421
calculate/Ratios and rates/Proportional relationships,0.8888888888888888
geometry/Coordinate plane/Quadrants,0.75
calculate/Rational and irrational numbers/Rational and irrational numbers,0.6111111111111112
geometry/Scale drawings/Scale drawings,0.875
geometry/Slope/Slope,0.9
calculate/basic calculate/Square roots and cube roots,0.8
geometry/Three-dimensional figures/Surface area and volume,0.8235294117647058
"Expressions, Equations and Functions/equations/Systems of equations",0.7777777777777778
geometry/Two-dimensional figures/Triangle,0.8333333333333334
statistic and probability/Two-variable statistics/Two-variable statistics,0.8888888888888888
calculate/Integers/absolute value,0.7777777777777778
geometry/Coordinate plane/axes,0.9411764705882353
statistic and probability/Data/center and variability,1.0
geometry/Two-dimensional figures/circle,0.65
calculate/Number theory/factors,1.0
statistic and probability/Probability/independent and dependent events,0.4375
"Expressions, Equations and Functions/inequalities/inequalities",0.8421052631578947
"statistic and probability/Data/mean, median, mode, and range",0.8421052631578947
calculate/Integers/opposite integers,1.0
statistic and probability/Data/outlier,1.0
geometry/Two-dimensional figures/polygons,0.8888888888888888
geometry/Three-dimensional figures/polyhedra,1.0
"Expressions, Equations and Functions/Expressions/radical expressions",0.29411764705882354
"geometry/Transformations/reflections, rotations, and translations",0.7777777777777778
geometry/Two-dimensional figures/square,0.9444444444444444
geometry/Two-dimensional figures/trapezoids,0.8125
"Expressions, Equations and Functions/Expressions/variable expressions",0.8888888888888888
acc,0.8214971209213052
